//SiPM index	DAC	p1 values	p1 errors
64	110	160.15	9.84963
65	110	237.639	0.647037
66	110	238.18	0.611985
67	110	238.313	0.604589
68	110	229.725	0.455398
69	110	236.27	0.465975
70	110	228.147	0.533016
71	110	334.726	106.37
72	110	234.494	0.65844
73	110	239.495	0.418993
74	110	229.094	0.616906
75	110	229.472	0.427295
76	110	228.551	0.62681
77	110	240.998	0.420262
78	110	236.918	0.462714
79	110	224.027	0.777991
80	110	241.986	0.612477
81	110	236.683	0.635618
82	110	240.874	0.611754
83	110	224.253	0.680044
84	110	235.925	0.657825
85	110	238.346	0.533358
86	110	231.763	1.16145
87	110	220.311	0.500989
88	110	215.234	0.563526
89	110	228.309	0.694039
90	110	243.426	0.517497
91	110	224.098	0.897963
92	110	240.767	0.478862
93	110	222.499	0.622557
94	110	222.608	0.532708
95	110	224.96	0.610109
96	110	238.206	0.575253
97	110	244.963	0.639397
98	110	246.864	0.536205
99	110	241.435	0.471253
100	110	234.185	0.696153
101	110	235.275	0.512945
102	110	238.135	0.398694
103	110	232.109	0.57834
104	110	242.212	0.545641
105	110	246.175	0.502714
106	110	246.5	0.461555
107	110	233.109	0.517063
108	110	232.11	0.544869
109	110	240.681	0.459931
110	110	237.011	0.502064
111	110	239.672	0.547249
112	110	220.935	0.765938
113	110	236.622	0.52673
114	110	232.909	0.585688
115	110	235.524	0.508231
116	110	241.398	0.740697
117	110	236.126	0.41195
118	110	229.678	0.666302
119	110	224.121	0.815273
120	110	346.388	12.5487
121	110	243.44	0.53457
122	110	237.963	0.4813
123	110	227.541	0.716599
124	110	238.281	0.502861
125	110	222.036	0.746832
126	110	215.41	4.95208
127	110	388.805	20.4402
