//SiPM index	DAC	p1 values	p1 errors
64	100	201.701	6.22285
65	100	223.109	0.474634
66	100	221.763	0.393322
67	100	224.047	0.462994
68	100	212.426	0.512354
69	100	220.884	0.417652
70	100	212.726	0.647236
71	100	236.047	34.929
72	100	214.494	1.03557
73	100	222.217	0.507738
74	100	214.794	0.535428
75	100	212.923	0.505239
76	100	214.64	0.503874
77	100	222.817	0.452781
78	100	221.291	0.447312
79	100	209.84	0.796639
80	100	224.258	0.536674
81	100	221.427	0.537569
82	100	222.765	0.772092
83	100	209.007	0.617497
84	100	217.745	0.648128
85	100	222.297	0.554084
86	100	218.266	0.809887
87	100	204.345	0.551293
88	100	193.7	1.05071
89	100	212.399	0.51418
90	100	223.548	0.691372
91	100	204.794	1.09913
92	100	221.954	0.54579
93	100	204.2	0.834681
94	100	205.943	0.671048
95	100	208.934	0.776863
96	100	217.761	0.581844
97	100	225.469	0.582122
98	100	226.643	0.815161
99	100	221.915	0.692161
100	100	217.274	0.56731
101	100	218.125	0.587126
102	100	218.445	0.624247
103	100	215.283	0.561987
104	100	224.881	0.545744
105	100	227.306	0.507087
106	100	223.301	0.814434
107	100	213.125	0.592554
108	100	214.809	0.632955
109	100	223.366	0.484371
110	100	219.73	0.555088
111	100	221.398	0.529353
112	100	203.455	1.1984
113	100	219.042	0.516166
114	100	211.272	0.806354
115	100	220.519	0.482838
116	100	222.667	0.830231
117	100	216.936	0.512125
118	100	207.898	0.823517
119	100	210.484	0.603569
120	100	186.037	30.1192
121	100	225.6	0.527271
122	100	222.278	0.491065
123	100	210.823	0.734879
124	100	218.621	0.484523
125	100	206.238	0.991118
126	100	205.986	2.50137
127	100	231.799	42.6671
