//SiPM index	DAC	p1 values	p1 errors
64	128	984.436	2.444
65	128	236.323	26.7573
66	128	274.483	0.571671
67	128	282.713	0.656168
68	128	278.898	0.4177
69	128	284.927	0.465092
70	128	273.714	0.50751
71	128	275.243	0.91487
72	128	206.563	30.0338
73	128	281.12	0.522693
74	128	280.818	0.440465
75	128	274.252	0.418833
76	128	277.983	0.483148
77	128	292.09	0.362878
78	128	280.166	0.435116
79	128	275.409	0.452555
80	128	243.149	5.28106
81	128	275.739	0.416168
82	128	285.148	0.527302
83	128	270.553	0.389841
84	128	286.678	0.461264
85	128	288.84	0.380275
86	128	279.28	0.706362
87	128	263.724	0.495309
88	128	236.25	1.61435
89	128	273.42	0.406459
90	128	289.142	0.401037
91	128	271.167	0.55341
92	128	285.532	0.380241
93	128	268.859	0.67873
94	128	261.395	0.485596
95	128	263.166	0.735027
96	128	253.862	1.86137
97	128	287.935	0.54295
98	128	285.19	0.530755
99	128	289.302	0.547284
100	128	282.189	0.45505
101	128	279.982	0.538585
102	128	275.223	0.580654
103	128	263.44	0.878057
104	128	234.559	24.0981
105	128	284.809	0.50471
106	128	288.12	0.532753
107	128	274.833	0.414553
108	128	279.025	0.496484
109	128	281.863	0.539192
110	128	277.561	0.64364
111	128	287.884	0.605198
112	128	160.941	24.5593
113	128	280.25	0.466132
114	128	275.93	0.595904
115	128	283.706	0.439128
116	128	286.375	0.614675
117	128	280.525	0.517986
118	128	269.22	0.994228
119	128	280.952	0.579128
120	128	48.0059	41.9186
121	128	263.411	1.69277
122	128	282.973	0.586819
123	128	273.533	0.560474
124	128	283.84	0.436239
125	128	268.363	0.648155
126	128	280.635	0.680605
127	128	258.091	0.928855
