//SiPM index	DAC	p1 values	p1 errors
64	150	214.657	23.2217
65	150	302.663	0.742069
66	150	301.96	0.588362
67	150	298.463	0.678955
68	150	294.254	0.60625
69	150	300.645	0.792861
70	150	282.864	1.11752
71	150	883.127	0.656911
72	150	298.211	0.972051
73	150	306.871	0.616137
74	150	298.473	0.724525
75	150	290.404	0.773041
76	150	291.512	0.742223
77	150	308.267	0.655543
78	150	294.915	0.732435
79	150	275.898	1.14266
80	150	302.977	0.591017
81	150	294.607	0.514618
82	150	303.286	0.689132
83	150	287.318	0.643892
84	150	302.177	0.768556
85	150	299.136	0.670498
86	150	300.107	1.21285
87	150	278.099	0.82113
88	150	273.699	0.814368
89	150	292.854	0.571453
90	150	306.847	0.720929
91	150	290.725	0.910883
92	150	304.03	0.772121
93	150	283.754	1.62264
94	150	276.712	0.880298
95	150	284.268	0.711835
96	150	300.425	1.08605
97	150	311.537	0.688848
98	150	307.698	0.705593
99	150	313.009	0.92289
100	150	301.307	0.74848
101	150	297.009	0.844979
102	150	296.258	0.762195
103	150	287.738	0.832538
104	150	307.577	0.844994
105	150	310.251	0.89521
106	150	309.771	0.726079
107	150	293.541	0.619777
108	150	296.628	0.682145
109	150	298.935	0.790973
110	150	302.314	0.481931
111	150	305.454	0.814773
112	150	275.716	2.37733
113	150	303.762	0.688519
114	150	296.991	0.723387
115	150	301.149	0.651814
116	150	306.68	0.742975
117	150	303.925	0.576347
118	150	288.278	0.907363
119	150	276.003	1.19162
120	150	299.38	5.46704
121	150	304.938	0.978316
122	150	307.596	0.689382
123	150	291.987	0.843693
124	150	303.842	0.627763
125	150	274.091	1.21158
126	150	166.869	22.0304
127	150	316.402	5.52658
