//SiPM index	DAC	p1 values	p1 errors
64	80	-0.109341	15.5314
65	80	186.57	0.548105
66	80	186.998	0.59342
67	80	190.537	0.53272
68	80	179.593	0.371042
69	80	185.037	0.488665
70	80	180.26	0.474614
71	80	0	0
72	80	178.79	0.697118
73	80	186.003	0.554459
74	80	181.808	0.654202
75	80	179.311	0.578017
76	80	177.661	0.564474
77	80	191.845	0.459473
78	80	184.565	0.474742
79	80	183.018	0.469658
80	80	184.576	0.690609
81	80	184.762	0.6064
82	80	187.407	0.615292
83	80	174.198	0.406362
84	80	182.749	0.58721
85	80	183.904	0.617704
86	80	185.592	0.685063
87	80	173.63	0.377415
88	80	159.213	0.641158
89	80	173.573	0.63542
90	80	187.116	0.645316
91	80	170.619	0.873951
92	80	185.69	0.648156
93	80	171.396	0.504094
94	80	174.387	0.420784
95	80	176.84	0.624452
96	80	180.05	0.677372
97	80	190.539	0.443279
98	80	191.61	0.581675
99	80	186.925	0.705647
100	80	183.244	0.470872
101	80	186.974	0.478773
102	80	188.571	0.407931
103	80	180.64	0.556081
104	80	187.082	0.592643
105	80	191.563	0.514007
106	80	188.659	0.579451
107	80	176.133	0.667464
108	80	182.018	0.515042
109	80	187.032	0.513193
110	80	183.554	0.608486
111	80	187.189	0.430781
112	80	177.824	0.51817
113	80	180.546	0.436219
114	80	179.272	0.534924
115	80	183.063	0.438482
116	80	188.97	0.567314
117	80	178.66	0.515885
118	80	178.587	0.578852
119	80	179.299	0.593333
120	80	0	0
121	80	191.021	0.519248
122	80	187.652	0.557725
123	80	173.122	0.753218
124	80	184.781	0.468334
125	80	174.623	0.83791
126	80	71.286	12.2491
127	80	0	0
