//SiPM index	DAC	p1 values	p1 errors
64	140	233.8	33.8385
65	140	286.031	0.534759
66	140	281.786	0.429458
67	140	281.255	0.59383
68	140	277.546	0.532176
69	140	283.36	0.544929
70	140	268.798	0.77301
71	140	263.531	34.4196
72	140	282.059	0.993394
73	140	288.733	0.395543
74	140	281.405	0.547573
75	140	273.898	0.623196
76	140	277.479	0.5793
77	140	292.255	0.490838
78	140	278.842	0.559398
79	140	256.858	1.15311
80	140	287.15	0.454366
81	140	281.258	0.402528
82	140	287.952	0.558582
83	140	271.487	0.527639
84	140	285.3	0.590998
85	140	285.726	0.513605
86	140	278.606	0.992996
87	140	263.106	0.67287
88	140	257.001	0.585684
89	140	277.978	0.467007
90	140	292.637	0.479249
91	140	274.539	0.68708
92	140	287.479	0.523453
93	140	264.689	1.22294
94	140	263.145	0.726882
95	140	268.649	0.663453
96	140	284.526	0.562631
97	140	295.657	0.491178
98	140	291.133	0.564822
99	140	293.376	0.617921
100	140	283.487	0.523115
101	140	278.593	0.58243
102	140	278.086	0.560055
103	140	272.606	0.656241
104	140	288.26	0.637943
105	140	289.868	0.464702
106	140	292.043	0.563765
107	140	277.281	0.523564
108	140	278.534	0.601164
109	140	281.879	0.59913
110	140	285.013	0.513287
111	140	289.079	0.52372
112	140	257.919	1.33491
113	140	288.252	0.419401
114	140	280.243	0.480351
115	140	285.584	0.464018
116	140	287.852	0.616759
117	140	287.659	0.419799
118	140	275.162	0.659216
119	140	260.014	1.15199
120	140	179.364	170.251
121	140	287.206	0.624156
122	140	290.523	0.488171
123	140	275.719	0.632197
124	140	286.257	0.466592
125	140	260.602	0.848185
126	140	253.029	13.212
127	140	283.135	8.37098
