//SiPM index	DAC	p1 values	p1 errors
64	128	162.459	18.1767
65	128	266.281	0.521048
66	128	261.728	0.425711
67	128	263.58	0.514672
68	128	259.234	0.455602
69	128	263.44	0.54574
70	128	253.23	0.543467
71	128	0	0
72	128	262.131	0.697926
73	128	268.748	0.535232
74	128	260.765	0.502462
75	128	254.725	0.458518
76	128	256.685	0.642736
77	128	271.952	0.541068
78	128	261.089	0.394199
79	128	244.883	0.967568
80	128	265.734	0.441683
81	128	259.037	0.401095
82	128	267.122	0.540366
83	128	251.896	0.576513
84	128	265.749	0.835731
85	128	266.558	0.635863
86	128	260.648	1.36843
87	128	246.605	0.61427
88	128	236.394	0.625614
89	128	257.091	0.393992
90	128	272.13	0.54215
91	128	253.822	0.596878
92	128	268.044	0.546241
93	128	243.374	0.842396
94	128	245.209	0.696273
95	128	251.492	0.595766
96	128	264.299	0.385986
97	128	274.477	0.487412
98	128	271.642	0.434329
99	128	273.197	0.484049
100	128	264.925	0.455545
101	128	261.01	0.594124
102	128	260.807	0.562221
103	128	253.841	0.595449
104	128	269.54	0.554306
105	128	271.334	0.420637
106	128	272.304	0.44382
107	128	258.532	0.504292
108	128	260.483	0.588107
109	128	264.076	0.570891
110	128	265.86	0.469764
111	128	269.601	0.639606
112	128	244.518	1.52479
113	128	268.044	0.373795
114	128	259.428	0.571573
115	128	267.275	0.413154
116	128	270.595	0.468117
117	128	267.385	0.406761
118	128	254.803	0.649241
119	128	245.265	1.10023
120	128	249.745	27.8704
121	128	270.102	0.642247
122	128	272.803	0.417674
123	128	256.218	0.549857
124	128	268.131	0.390546
125	128	243.222	0.993917
126	128	221.195	18.4845
127	128	314.12	219.629
