//SiPM index	DAC	p1 values	p1 errors
64	90	203.397	3.56028
65	90	203.639	0.620495
66	90	204.606	0.671598
67	90	207.519	0.422997
68	90	196.761	0.391628
69	90	202.056	0.596475
70	90	195.611	0.460131
71	90	254.044	38.1635
72	90	196.245	0.78718
73	90	203.467	0.516422
74	90	198.16	0.645146
75	90	194.418	0.713459
76	90	191.86	0.677328
77	90	209.072	0.48686
78	90	200.558	0.6337
79	90	196.483	0.704931
80	90	204.973	0.537056
81	90	201.381	0.632313
82	90	203.437	0.596023
83	90	188.862	0.572284
84	90	198.06	0.707036
85	90	200.824	0.516499
86	90	200.493	0.690021
87	90	187.782	0.53973
88	90	178.243	0.69081
89	90	191.598	0.646434
90	90	203.717	0.638226
91	90	187.814	0.834862
92	90	203.545	0.710869
93	90	188.751	0.628133
94	90	189.348	0.543487
95	90	192.106	0.473484
96	90	198.28	0.668646
97	90	206.978	0.602294
98	90	208.366	0.551962
99	90	203.308	0.781795
100	90	198.978	0.508758
101	90	202.133	0.513619
102	90	206.383	0.395645
103	90	198.273	0.626138
104	90	202.331	0.721446
105	90	208.543	0.715624
106	90	208.065	0.578861
107	90	196.891	0.471167
108	90	197.457	0.61671
109	90	205.296	0.510629
110	90	200.555	0.577501
111	90	202.938	0.580952
112	90	194.628	0.625362
113	90	197.784	0.519119
114	90	195.369	0.644973
115	90	199.162	0.47839
116	90	205.314	0.625705
117	90	197.896	0.481989
118	90	197.663	0.547384
119	90	193.157	0.88893
120	90	0	0
121	90	207.426	0.488161
122	90	204.207	0.544103
123	90	191.45	0.713743
124	90	200.895	0.610283
125	90	191.137	0.653401
126	90	190.53	3.4577
127	90	175.379	42.0593
